TRANSACTION_ID,YEAR,MONTH_NUMBER,MONTH_NAME,SEASON,REGION,STATE_PROVINCE,CATEGORY,SALES,UNITS
1,2023,1,January,Winter,North,Punjab,Electronics,121893.88,441
2,2023,1,January,Winter,North,Punjab,Clothing,87282.82,1319
3,2023,1,January,Winter,North,Punjab,Furniture,75180.08,233
4,2023,1,January,Winter,North,Punjab,Food & Beverages,95894.7,3518
5,2023,1,January,Winter,North,Punjab,Sports,64747.02,586
6,2023,1,January,Winter,North,Punjab,Toys,53562.1,1072
7,2023,1,January,Winter,North,Punjab,Books,40152.57,1132
8,2023,1,January,Winter,North,KPK,Electronics,122260.94,493
9,2023,1,January,Winter,North,KPK,Clothing,85749.97,1396
10,2023,1,January,Winter,North,KPK,Furniture,76716.61,207
11,2023,1,January,Winter,North,KPK,Food & Beverages,93671.79,3895
12,2023,1,January,Winter,North,KPK,Sports,63122.58,587
13,2023,1,January,Winter,North,KPK,Toys,66524.09,1287
14,2023,1,January,Winter,North,KPK,Books,41082.15,1133
15,2023,1,January,Winter,North,Gilgit-Baltistan,Electronics,129197.05,527
16,2023,1,January,Winter,North,Gilgit-Baltistan,Clothing,102224.16,1710
17,2023,1,January,Winter,North,Gilgit-Baltistan,Furniture,70962.96,233
18,2023,1,January,Winter,North,Gilgit-Baltistan,Food & Beverages,82673.47,3341
19,2023,1,January,Winter,North,Gilgit-Baltistan,Sports,72851.86,745
20,2023,1,January,Winter,North,Gilgit-Baltistan,Toys,64847.96,1317
21,2023,1,January,Winter,North,Gilgit-Baltistan,Books,49672.19,1354
22,2023,1,January,Winter,South,Sindh,Electronics,90918.58,348
23,2023,1,January,Winter,South,Sindh,Clothing,69215.86,1048
24,2023,1,January,Winter,South,Sindh,Furniture,52289.85,149
25,2023,1,January,Winter,South,Sindh,Food & Beverages,75555.21,2940
26,2023,1,January,Winter,South,Sindh,Sports,53915.15,507
27,2023,1,January,Winter,South,Sindh,Toys,46039.62,1001
28,2023,1,January,Winter,South,Sindh,Books,41358.66,1267
29,2023,1,January,Winter,South,Balochistan,Electronics,89232.82,373
30,2023,1,January,Winter,South,Balochistan,Clothing,71202.44,1111
31,2023,1,January,Winter,South,Balochistan,Furniture,68123.31,210
32,2023,1,January,Winter,South,Balochistan,Food & Beverages,73840.37,3062
33,2023,1,January,Winter,South,Balochistan,Sports,61870.2,652
34,2023,1,January,Winter,South,Balochistan,Toys,45476.36,824
35,2023,1,January,Winter,South,Balochistan,Books,37407.58,1070
36,2023,1,January,Winter,East,AJK,Electronics,73976.88,322
37,2023,1,January,Winter,East,AJK,Clothing,72116.59,1111
38,2023,1,January,Winter,East,AJK,Furniture,50866.3,149
39,2023,1,January,Winter,East,AJK,Food & Beverages,66787.24,2649
40,2023,1,January,Winter,East,AJK,Sports,42662.4,405
41,2023,1,January,Winter,East,AJK,Toys,41245.62,785
42,2023,1,January,Winter,East,AJK,Books,33222.18,1075
43,2023,1,January,Winter,East,Punjab,Electronics,78555.43,296
44,2023,1,January,Winter,East,Punjab,Clothing,74472.13,1193
45,2023,1,January,Winter,East,Punjab,Furniture,42635.46,116
46,2023,1,January,Winter,East,Punjab,Food & Beverages,52443.95,2151
47,2023,1,January,Winter,East,Punjab,Sports,49921.93,491
48,2023,1,January,Winter,East,Punjab,Toys,35196.86,687
49,2023,1,January,Winter,East,Punjab,Books,37222.3,1123
50,2023,1,January,Winter,West,Balochistan,Electronics,82175.29,352
51,2023,1,January,Winter,West,Balochistan,Clothing,49158.39,821
52,2023,1,January,Winter,West,Balochistan,Furniture,45554.97,137
53,2023,1,January,Winter,West,Balochistan,Food & Beverages,49106.51,2019
54,2023,1,January,Winter,West,Balochistan,Sports,36045.4,355
55,2023,1,January,Winter,West,Balochistan,Toys,35500.22,774
56,2023,1,January,Winter,West,Balochistan,Books,32047.37,915
57,2023,1,January,Winter,West,KPK,Electronics,72012.66,269
58,2023,1,January,Winter,West,KPK,Clothing,64730.21,1112
59,2023,1,January,Winter,West,KPK,Furniture,40587.84,125
60,2023,1,January,Winter,West,KPK,Food & Beverages,54526.09,2029
61,2023,1,January,Winter,West,KPK,Sports,44013.13,443
62,2023,1,January,Winter,West,KPK,Toys,39009.17,784
63,2023,1,January,Winter,West,KPK,Books,24484.94,708
64,2023,1,January,Winter,Central,Punjab,Electronics,77025.87,334
65,2023,1,January,Winter,Central,Punjab,Clothing,80180.39,1367
66,2023,1,January,Winter,Central,Punjab,Furniture,50881.73,139
67,2023,1,January,Winter,Central,Punjab,Food & Beverages,73484.59,3202
68,2023,1,January,Winter,Central,Punjab,Sports,44660.5,445
69,2023,1,January,Winter,Central,Punjab,Toys,39184.37,824
70,2023,1,January,Winter,Central,Punjab,Books,38871.01,1079
71,2023,1,January,Winter,Central,Sindh,Electronics,89332.62,360
72,2023,1,January,Winter,Central,Sindh,Clothing,66925.22,1150
73,2023,1,January,Winter,Central,Sindh,Furniture,52754.83,149
74,2023,1,January,Winter,Central,Sindh,Food & Beverages,66778.06,2793
75,2023,1,January,Winter,Central,Sindh,Sports,46427.61,446
76,2023,1,January,Winter,Central,Sindh,Toys,51684.52,1064
77,2023,1,January,Winter,Central,Sindh,Books,35331.48,1063
78,2023,2,February,Winter,North,Punjab,Electronics,96784.1,365
79,2023,2,February,Winter,North,Punjab,Clothing,83116.55,1353
80,2023,2,February,Winter,North,Punjab,Furniture,60215.14,170
81,2023,2,February,Winter,North,Punjab,Food & Beverages,69773.54,2864
82,2023,2,February,Winter,North,Punjab,Sports,56848.08,614
83,2023,2,February,Winter,North,Punjab,Toys,60490.83,1105
84,2023,2,February,Winter,North,Punjab,Books,40246.81,1248
85,2023,2,February,Winter,North,KPK,Electronics,99838.4,369
86,2023,2,February,Winter,North,KPK,Clothing,98773.96,1602
87,2023,2,February,Winter,North,KPK,Furniture,64982.82,206
88,2023,2,February,Winter,North,KPK,Food & Beverages,87467.31,3282
89,2023,2,February,Winter,North,KPK,Sports,54397.42,536
90,2023,2,February,Winter,North,KPK,Toys,53348.22,1059
91,2023,2,February,Winter,North,KPK,Books,46681.81,1449
92,2023,2,February,Winter,North,Gilgit-Baltistan,Electronics,125061.25,460
93,2023,2,February,Winter,North,Gilgit-Baltistan,Clothing,84807.9,1313
94,2023,2,February,Winter,North,Gilgit-Baltistan,Furniture,72629.04,206
95,2023,2,February,Winter,North,Gilgit-Baltistan,Food & Beverages,72637.58,2875
96,2023,2,February,Winter,North,Gilgit-Baltistan,Sports,60429.81,577
97,2023,2,February,Winter,North,Gilgit-Baltistan,Toys,50501.83,1095
98,2023,2,February,Winter,North,Gilgit-Baltistan,Books,42934.79,1381
99,2023,2,February,Winter,South,Sindh,Electronics,93795.02,341
100,2023,2,February,Winter,South,Sindh,Clothing,84992.09,1451
101,2023,2,February,Winter,South,Sindh,Furniture,63240.35,205
102,2023,2,February,Winter,South,Sindh,Food & Beverages,74848.29,2794
103,2023,2,February,Winter,South,Sindh,Sports,52134.45,491
104,2023,2,February,Winter,South,Sindh,Toys,44828.42,817
105,2023,2,February,Winter,South,Sindh,Books,35618.05,1172
106,2023,2,February,Winter,South,Balochistan,Electronics,85891.43,363
107,2023,2,February,Winter,South,Balochistan,Clothing,72922.27,1148
108,2023,2,February,Winter,South,Balochistan,Furniture,63046.11,207
109,2023,2,February,Winter,South,Balochistan,Food & Beverages,68893.66,2876
110,2023,2,February,Winter,South,Balochistan,Sports,46937.55,450
111,2023,2,February,Winter,South,Balochistan,Toys,52696.31,1070
112,2023,2,February,Winter,South,Balochistan,Books,37427.86,1178
113,2023,2,February,Winter,East,AJK,Electronics,65556.51,266
114,2023,2,February,Winter,East,AJK,Clothing,60531.72,1036
115,2023,2,February,Winter,East,AJK,Furniture,40698.34,133
116,2023,2,February,Winter,East,AJK,Food & Beverages,48456.41,1816
117,2023,2,February,Winter,East,AJK,Sports,44061.39,456
118,2023,2,February,Winter,East,AJK,Toys,34797.21,643
119,2023,2,February,Winter,East,AJK,Books,33780.69,961
120,2023,2,February,Winter,East,Punjab,Electronics,77743.69,318
121,2023,2,February,Winter,East,Punjab,Clothing,59014.42,960
122,2023,2,February,Winter,East,Punjab,Furniture,45670.03,148
123,2023,2,February,Winter,East,Punjab,Food & Beverages,50521.24,2108
124,2023,2,February,Winter,East,Punjab,Sports,39481.59,386
125,2023,2,February,Winter,East,Punjab,Toys,39746.97,763
126,2023,2,February,Winter,East,Punjab,Books,28572.36,900
127,2023,2,February,Winter,West,Balochistan,Electronics,58582.47,232
128,2023,2,February,Winter,West,Balochistan,Clothing,61799.07,1086
129,2023,2,February,Winter,West,Balochistan,Furniture,35158.16,99
130,2023,2,February,Winter,West,Balochistan,Food & Beverages,45808.72,1991
131,2023,2,February,Winter,West,Balochistan,Sports,42430.99,456
132,2023,2,February,Winter,West,Balochistan,Toys,32284.83,601
133,2023,2,February,Winter,West,Balochistan,Books,29571.32,923
134,2023,2,February,Winter,West,KPK,Electronics,69451.42,304
135,2023,2,February,Winter,West,KPK,Clothing,56243.33,811
136,2023,2,February,Winter,West,KPK,Furniture,44155.69,127
137,2023,2,February,Winter,West,KPK,Food & Beverages,51695.54,2249
138,2023,2,February,Winter,West,KPK,Sports,33902.14,312
139,2023,2,February,Winter,West,KPK,Toys,29638.92,599
140,2023,2,February,Winter,West,KPK,Books,25044.22,767
141,2023,2,February,Winter,Central,Punjab,Electronics,89483.83,336
142,2023,2,February,Winter,Central,Punjab,Clothing,69906.24,1065
143,2023,2,February,Winter,Central,Punjab,Furniture,50226.6,162
144,2023,2,February,Winter,Central,Punjab,Food & Beverages,67996.0,2498
145,2023,2,February,Winter,Central,Punjab,Sports,46508.66,444
146,2023,2,February,Winter,Central,Punjab,Toys,35744.68,753
147,2023,2,February,Winter,Central,Punjab,Books,34982.1,999
148,2023,2,February,Winter,Central,Sindh,Electronics,90079.02,364
149,2023,2,February,Winter,Central,Sindh,Clothing,65742.17,948
150,2023,2,February,Winter,Central,Sindh,Furniture,43977.69,142
151,2023,2,February,Winter,Central,Sindh,Food & Beverages,69064.6,2787
152,2023,2,February,Winter,Central,Sindh,Sports,52378.02,532
153,2023,2,February,Winter,Central,Sindh,Toys,37565.98,695
154,2023,2,February,Winter,Central,Sindh,Books,31667.24,1025
155,2023,3,March,Spring,North,Punjab,Electronics,135886.82,582
156,2023,3,March,Spring,North,Punjab,Clothing,111788.59,1684
157,2023,3,March,Spring,North,Punjab,Furniture,69253.44,191
158,2023,3,March,Spring,North,Punjab,Food & Beverages,99210.87,4273
159,2023,3,March,Spring,North,Punjab,Sports,68733.7,703
160,2023,3,March,Spring,North,Punjab,Toys,55933.24,1214
161,2023,3,March,Spring,North,Punjab,Books,55380.33,1819
162,2023,3,March,Spring,North,KPK,Electronics,136435.29,587
163,2023,3,March,Spring,North,KPK,Clothing,85606.4,1434
164,2023,3,March,Spring,North,KPK,Furniture,71110.21,231
165,2023,3,March,Spring,North,KPK,Food & Beverages,99818.17,4283
166,2023,3,March,Spring,North,KPK,Sports,77312.86,737
167,2023,3,March,Spring,North,KPK,Toys,67779.65,1249
168,2023,3,March,Spring,North,KPK,Books,55493.57,1784
169,2023,3,March,Spring,North,Gilgit-Baltistan,Electronics,114407.92,486
170,2023,3,March,Spring,North,Gilgit-Baltistan,Clothing,98651.0,1516
171,2023,3,March,Spring,North,Gilgit-Baltistan,Furniture,81514.64,231
172,2023,3,March,Spring,North,Gilgit-Baltistan,Food & Beverages,78441.73,2945
173,2023,3,March,Spring,North,Gilgit-Baltistan,Sports,67076.41,719
174,2023,3,March,Spring,North,Gilgit-Baltistan,Toys,71140.16,1359
175,2023,3,March,Spring,North,Gilgit-Baltistan,Books,52038.83,1529
176,2023,3,March,Spring,South,Sindh,Electronics,120842.82,486
177,2023,3,March,Spring,South,Sindh,Clothing,95612.03,1412
178,2023,3,March,Spring,South,Sindh,Furniture,72301.37,202
179,2023,3,March,Spring,South,Sindh,Food & Beverages,88185.6,3361
180,2023,3,March,Spring,South,Sindh,Sports,52810.04,521
181,2023,3,March,Spring,South,Sindh,Toys,56420.15,1086
182,2023,3,March,Spring,South,Sindh,Books,43585.88,1310
183,2023,3,March,Spring,South,Balochistan,Electronics,101962.99,414
184,2023,3,March,Spring,South,Balochistan,Clothing,78263.69,1304
185,2023,3,March,Spring,South,Balochistan,Furniture,53888.15,175
186,2023,3,March,Spring,South,Balochistan,Food & Beverages,78333.32,3270
187,2023,3,March,Spring,South,Balochistan,Sports,64183.49,663
188,2023,3,March,Spring,South,Balochistan,Toys,50649.27,925
189,2023,3,March,Spring,South,Balochistan,Books,44321.22,1284
190,2023,3,March,Spring,East,AJK,Electronics,81576.69,349
191,2023,3,March,Spring,East,AJK,Clothing,73676.82,1131
192,2023,3,March,Spring,East,AJK,Furniture,48874.0,143
193,2023,3,March,Spring,East,AJK,Food & Beverages,61504.83,2359
194,2023,3,March,Spring,East,AJK,Sports,43485.6,427
195,2023,3,March,Spring,East,AJK,Toys,48907.11,1012
196,2023,3,March,Spring,East,AJK,Books,38736.29,1188
197,2023,3,March,Spring,East,Punjab,Electronics,81240.62,328
198,2023,3,March,Spring,East,Punjab,Clothing,58760.42,900
199,2023,3,March,Spring,East,Punjab,Furniture,50749.62,154
200,2023,3,March,Spring,East,Punjab,Food & Beverages,66300.64,2633
201,2023,3,March,Spring,East,Punjab,Sports,48110.44,453
202,2023,3,March,Spring,East,Punjab,Toys,42852.49,925
203,2023,3,March,Spring,East,Punjab,Books,37629.18,1054
204,2023,3,March,Spring,West,Balochistan,Electronics,67233.69,269
205,2023,3,March,Spring,West,Balochistan,Clothing,63890.37,988
206,2023,3,March,Spring,West,Balochistan,Furniture,50481.89,159
207,2023,3,March,Spring,West,Balochistan,Food & Beverages,59239.56,2239
208,2023,3,March,Spring,West,Balochistan,Sports,39591.84,358
209,2023,3,March,Spring,West,Balochistan,Toys,35460.59,705
210,2023,3,March,Spring,West,Balochistan,Books,33943.18,931
211,2023,3,March,Spring,West,KPK,Electronics,74828.72,307
212,2023,3,March,Spring,West,KPK,Clothing,55807.83,927
213,2023,3,March,Spring,West,KPK,Furniture,46002.27,130
214,2023,3,March,Spring,West,KPK,Food & Beverages,58956.76,2125
215,2023,3,March,Spring,West,KPK,Sports,46796.59,493
216,2023,3,March,Spring,West,KPK,Toys,33867.89,667
217,2023,3,March,Spring,West,KPK,Books,27732.97,908
218,2023,3,March,Spring,Central,Punjab,Electronics,96517.18,351
219,2023,3,March,Spring,Central,Punjab,Clothing,71021.53,1215
220,2023,3,March,Spring,Central,Punjab,Furniture,56847.66,180
221,2023,3,March,Spring,Central,Punjab,Food & Beverages,73939.24,3246
222,2023,3,March,Spring,Central,Punjab,Sports,55957.78,609
223,2023,3,March,Spring,Central,Punjab,Toys,53636.53,1096
224,2023,3,March,Spring,Central,Punjab,Books,40926.04,1228
225,2023,3,March,Spring,Central,Sindh,Electronics,105520.39,426
226,2023,3,March,Spring,Central,Sindh,Clothing,85951.67,1442
227,2023,3,March,Spring,Central,Sindh,Furniture,57162.37,163
228,2023,3,March,Spring,Central,Sindh,Food & Beverages,65061.7,2674
229,2023,3,March,Spring,Central,Sindh,Sports,58738.08,589
230,2023,3,March,Spring,Central,Sindh,Toys,49825.18,951
231,2023,3,March,Spring,Central,Sindh,Books,33532.61,962
232,2023,4,April,Spring,North,Punjab,Electronics,123518.83,476
233,2023,4,April,Spring,North,Punjab,Clothing,107357.8,1593
234,2023,4,April,Spring,North,Punjab,Furniture,73145.75,227
235,2023,4,April,Spring,North,Punjab,Food & Beverages,103261.66,3770
236,2023,4,April,Spring,North,Punjab,Sports,73057.1,736
237,2023,4,April,Spring,North,Punjab,Toys,64624.75,1216
238,2023,4,April,Spring,North,Punjab,Books,51769.32,1678
239,2023,4,April,Spring,North,KPK,Electronics,135944.68,565
240,2023,4,April,Spring,North,KPK,Clothing,117432.64,1978
241,2023,4,April,Spring,North,KPK,Furniture,76704.93,207
242,2023,4,April,Spring,North,KPK,Food & Beverages,92915.51,3905
243,2023,4,April,Spring,North,KPK,Sports,83107.42,906
244,2023,4,April,Spring,North,KPK,Toys,64689.33,1357
245,2023,4,April,Spring,North,KPK,Books,53774.06,1646
246,2023,4,April,Spring,North,Gilgit-Baltistan,Electronics,121483.03,458
247,2023,4,April,Spring,North,Gilgit-Baltistan,Clothing,104038.04,1507
248,2023,4,April,Spring,North,Gilgit-Baltistan,Furniture,75648.74,235
249,2023,4,April,Spring,North,Gilgit-Baltistan,Food & Beverages,94448.73,3524
250,2023,4,April,Spring,North,Gilgit-Baltistan,Sports,74404.91,688
251,2023,4,April,Spring,North,Gilgit-Baltistan,Toys,68731.69,1244
252,2023,4,April,Spring,North,Gilgit-Baltistan,Books,51353.65,1560
253,2023,4,April,Spring,South,Sindh,Electronics,96282.25,396
254,2023,4,April,Spring,South,Sindh,Clothing,79950.12,1269
255,2023,4,April,Spring,South,Sindh,Furniture,58237.55,170
256,2023,4,April,Spring,South,Sindh,Food & Beverages,75162.62,2902
257,2023,4,April,Spring,South,Sindh,Sports,68562.7,669
258,2023,4,April,Spring,South,Sindh,Toys,60341.33,1286
259,2023,4,April,Spring,South,Sindh,Books,41544.58,1142
260,2023,4,April,Spring,South,Balochistan,Electronics,96022.44,387
261,2023,4,April,Spring,South,Balochistan,Clothing,103221.52,1601
262,2023,4,April,Spring,South,Balochistan,Furniture,70352.31,222
263,2023,4,April,Spring,South,Balochistan,Food & Beverages,86025.91,3616
264,2023,4,April,Spring,South,Balochistan,Sports,72155.89,678
265,2023,4,April,Spring,South,Balochistan,Toys,48028.0,893
266,2023,4,April,Spring,South,Balochistan,Books,39847.44,1235
267,2023,4,April,Spring,East,AJK,Electronics,93561.72,353
268,2023,4,April,Spring,East,AJK,Clothing,77834.61,1311
269,2023,4,April,Spring,East,AJK,Furniture,49590.55,151
270,2023,4,April,Spring,East,AJK,Food & Beverages,72327.11,2670
271,2023,4,April,Spring,East,AJK,Sports,57003.01,623
272,2023,4,April,Spring,East,AJK,Toys,40503.52,733
273,2023,4,April,Spring,East,AJK,Books,34648.52,1076
274,2023,4,April,Spring,East,Punjab,Electronics,104418.08,409
275,2023,4,April,Spring,East,Punjab,Clothing,78177.2,1144
276,2023,4,April,Spring,East,Punjab,Furniture,58229.71,179
277,2023,4,April,Spring,East,Punjab,Food & Beverages,59280.0,2500
278,2023,4,April,Spring,East,Punjab,Sports,57486.68,586
279,2023,4,April,Spring,East,Punjab,Toys,40681.93,892
280,2023,4,April,Spring,East,Punjab,Books,39833.51,1158
281,2023,4,April,Spring,West,Balochistan,Electronics,79846.69,311
282,2023,4,April,Spring,West,Balochistan,Clothing,65396.74,1013
283,2023,4,April,Spring,West,Balochistan,Furniture,54094.57,172
284,2023,4,April,Spring,West,Balochistan,Food & Beverages,52758.63,2304
285,2023,4,April,Spring,West,Balochistan,Sports,48120.84,512
286,2023,4,April,Spring,West,Balochistan,Toys,43337.46,855
287,2023,4,April,Spring,West,Balochistan,Books,34929.32,1145
288,2023,4,April,Spring,West,KPK,Electronics,75971.62,322
289,2023,4,April,Spring,West,KPK,Clothing,66027.58,1052
290,2023,4,April,Spring,West,KPK,Furniture,48013.72,150
291,2023,4,April,Spring,West,KPK,Food & Beverages,55682.24,2383
292,2023,4,April,Spring,West,KPK,Sports,50827.9,466
293,2023,4,April,Spring,West,KPK,Toys,45471.17,862
294,2023,4,April,Spring,West,KPK,Books,32294.43,990
295,2023,4,April,Spring,Central,Punjab,Electronics,98297.07,356
296,2023,4,April,Spring,Central,Punjab,Clothing,90191.33,1351
297,2023,4,April,Spring,Central,Punjab,Furniture,55914.52,177
298,2023,4,April,Spring,Central,Punjab,Food & Beverages,71217.2,3065
299,2023,4,April,Spring,Central,Punjab,Sports,61288.53,585
300,2023,4,April,Spring,Central,Punjab,Toys,43505.31,948
301,2023,4,April,Spring,Central,Punjab,Books,35727.9,1119
302,2023,4,April,Spring,Central,Sindh,Electronics,101650.48,427
303,2023,4,April,Spring,Central,Sindh,Clothing,86266.12,1420
304,2023,4,April,Spring,Central,Sindh,Furniture,61031.48,193
305,2023,4,April,Spring,Central,Sindh,Food & Beverages,65668.12,2480
306,2023,4,April,Spring,Central,Sindh,Sports,61125.59,587
307,2023,4,April,Spring,Central,Sindh,Toys,52247.8,1039
308,2023,4,April,Spring,Central,Sindh,Books,41178.48,1216
309,2023,5,May,Spring,North,Punjab,Electronics,150758.8,582
310,2023,5,May,Spring,North,Punjab,Clothing,119155.4,1819
311,2023,5,May,Spring,North,Punjab,Furniture,77957.47,216
312,2023,5,May,Spring,North,Punjab,Food & Beverages,93464.54,3454
313,2023,5,May,Spring,North,Punjab,Sports,80416.0,846
314,2023,5,May,Spring,North,Punjab,Toys,63569.26,1199
315,2023,5,May,Spring,North,Punjab,Books,55893.78,1752
316,2023,5,May,Spring,North,KPK,Electronics,160474.69,645
317,2023,5,May,Spring,North,KPK,Clothing,105007.92,1545
318,2023,5,May,Spring,North,KPK,Furniture,76509.74,217
319,2023,5,May,Spring,North,KPK,Food & Beverages,93058.59,3360
320,2023,5,May,Spring,North,KPK,Sports,80374.74,767
321,2023,5,May,Spring,North,KPK,Toys,80188.65,1620
322,2023,5,May,Spring,North,KPK,Books,59486.09,1651
323,2023,5,May,Spring,North,Gilgit-Baltistan,Electronics,155919.59,622
